iter	Logloss
0	0.6827380375
1	0.6740571288
2	0.6657448917
3	0.6562324442
4	0.648532686
5	0.6418093496
6	0.6365743499
7	0.6317440844
8	0.6263785917
9	0.621619419
10	0.6149185633
11	0.6110239005
12	0.6076734182
13	0.6022832278
14	0.5996479033
15	0.596899261
16	0.5934048006
17	0.5909389722
18	0.5880300848
19	0.586024084
20	0.583991236
21	0.5802175652
22	0.5783860864
23	0.5767704931
24	0.5753143233
25	0.5736201964
26	0.5714040122
27	0.5694821678
28	0.5685068288
29	0.5672765788
30	0.5662682341
31	0.5647221178
32	0.5631677074
33	0.5619753847
34	0.5602046304
35	0.5593903031
36	0.558169529
37	0.5572055003
38	0.5554036521
39	0.5537272289
40	0.5518789365
41	0.550932381
42	0.5500183583
43	0.5483653594
44	0.5472451904
45	0.5464951155
46	0.5453425193
47	0.5445344769
48	0.543829201
49	0.5432245944
50	0.5425707895
51	0.5418090177
52	0.5412320446
53	0.5405094006
54	0.5390605869
55	0.5380087905
56	0.5372753048
57	0.5361815853
58	0.53502086
59	0.5345708866
60	0.5339219303
61	0.5330207988
62	0.5322915348
63	0.5318187567
64	0.5313058961
65	0.5307422748
66	0.5301939997
67	0.5298331667
68	0.5282386858
69	0.5273948777
70	0.5267395934
71	0.5262487088
72	0.5257980646
73	0.5251969426
74	0.5244693249
75	0.5238379026
76	0.5233529972
77	0.5226995873
78	0.5213808689
79	0.5210046488
80	0.5206880312
81	0.5201596923
82	0.5200353085
83	0.5195521317
84	0.519117627
85	0.5185614398
86	0.518272855
87	0.5177205095
88	0.5172427218
89	0.5166493133
90	0.5161446777
91	0.5156363462
92	0.5153021475
93	0.5150488676
94	0.5147103752
95	0.5142004777
96	0.5137963606
97	0.5135352923
98	0.5130441059
99	0.512906831
100	0.5124824173
101	0.5118071568
102	0.5113926808
103	0.5106408439
104	0.5101124214
105	0.5096998022
106	0.5091336945
107	0.5086536192
108	0.5082569724
109	0.5077905146
110	0.5074064138
111	0.5070302343
112	0.506711756
113	0.5061004558
114	0.505680106
115	0.5054329205
116	0.5048005221
117	0.5042779328
118	0.5037000076
119	0.5033399258
120	0.5029820736
121	0.5024141555
122	0.5021655395
123	0.5015240772
124	0.5010929861
125	0.5007849295
126	0.500452263
127	0.5003937086
128	0.4998911314
129	0.4996382767
130	0.4993576463
131	0.4988710383
132	0.4983465317
133	0.4980108736
134	0.4976795524
135	0.4973912711
136	0.4969919614
137	0.4966629083
138	0.4961791089
139	0.4956625568
140	0.4955919067
141	0.4953187241
142	0.4947127998
143	0.4942017114
144	0.4933942904
145	0.4930514228
146	0.4927395755
147	0.4924237327
148	0.491800144
149	0.4914816622
150	0.4910215803
151	0.4906750451
152	0.4904092714
153	0.4900145468
154	0.4895922448
155	0.4892810318
156	0.489076645
157	0.4886206782
158	0.4883633598
159	0.4879825185
160	0.4873548088
161	0.4869461585
162	0.4864741448
163	0.4862208445
164	0.4857611571
165	0.4855435365
166	0.4850543329
167	0.4847552571
168	0.4842335199
169	0.4838530212
170	0.4833521638
171	0.4830591752
172	0.4827559505
173	0.4823951609
174	0.4819656225
175	0.481512478
176	0.4812898941
177	0.4809043216
178	0.4806202204
179	0.4801888461
180	0.4798571819
181	0.479490402
182	0.4790306426
183	0.4787117055
184	0.4786273141
185	0.4784340635
186	0.4780606152
187	0.4779067386
188	0.4777256011
189	0.4775581279
190	0.4772498753
191	0.4766887866
192	0.4763176508
193	0.4759041982
194	0.475246961
195	0.474750353
196	0.4745722955
197	0.4742536316
198	0.4739623458
199	0.4736768489
200	0.4734329891
201	0.4728421653
202	0.4725068838
203	0.4720790977
204	0.4717353619
205	0.4714547794
206	0.4712531973
207	0.4710074127
208	0.4706060875
209	0.4703711895
210	0.470042593
211	0.4694581512
212	0.4693121795
213	0.4689315897
214	0.4686549661
215	0.468402134
216	0.4680138505
217	0.4675494671
218	0.4673234428
219	0.4670923952
220	0.4669145451
221	0.4666890357
222	0.4666337712
223	0.4663036594
224	0.4658886176
225	0.4655086877
226	0.4653352163
227	0.4651668556
228	0.465045952
229	0.464842561
230	0.4644330225
231	0.4641090962
232	0.4639931394
233	0.4637237234
234	0.4629384206
235	0.4625273035
236	0.4621540078
237	0.4614874312
238	0.4613752418
239	0.4609790399
240	0.4607035132
241	0.4603464462
242	0.460201107
243	0.4598341142
244	0.4596514695
245	0.4591978163
246	0.458749526
247	0.4584053862
248	0.458309267
249	0.4581417937
250	0.4579246644
251	0.4578272867
252	0.4571420288
253	0.456780647
254	0.4566049284
255	0.4562335124
256	0.4559976308
257	0.4556425576
258	0.4552200346
259	0.455062726
260	0.4542713183
261	0.453910283
262	0.4536782822
263	0.4533131129
264	0.4528263371
265	0.4523216486
266	0.4519331959
267	0.4515819115
268	0.4512533668
269	0.4509653291
270	0.4505751691
271	0.4500277203
272	0.4494342559
273	0.4491162474
274	0.4488457377
275	0.4486122083
276	0.4481494133
277	0.447785593
278	0.4473926324
279	0.4469305858
280	0.4466722598
281	0.4463406291
282	0.4459227677
283	0.4457732661
284	0.4452981154
285	0.4450992674
286	0.4447052452
287	0.4444250357
288	0.4441582386
289	0.4438779196
290	0.4434529301
291	0.4431461636
292	0.4426338482
293	0.4423724538
294	0.4419095414
295	0.4416865433
296	0.4413159043
297	0.4410836666
298	0.4408429235
299	0.4405651099
300	0.440317089
301	0.439985929
302	0.4393988477
303	0.439144256
304	0.4389462728
305	0.4381627645
306	0.4379174988
307	0.4377565653
308	0.437517352
309	0.4372184268
310	0.4370094805
311	0.4367896655
312	0.4365192911
313	0.4362757485
314	0.4357696166
315	0.4356505759
316	0.4353045171
317	0.4351601323
318	0.4346589992
319	0.4343169803
320	0.4338455557
321	0.4335251489
322	0.4333295948
323	0.4329565579
324	0.4327082964
325	0.4324544358
326	0.4320556163
327	0.4318119237
328	0.4314692178
329	0.4312024265
330	0.4307389417
331	0.4305935633
332	0.4301246179
333	0.4297121765
334	0.4294023538
335	0.4288648804
336	0.4285376062
337	0.4282294087
338	0.4279682179
339	0.4275894717
340	0.4272243153
341	0.426952168
342	0.4265596811
343	0.4263487396
344	0.426020483
345	0.4256080384
346	0.4250373092
347	0.4247828079
348	0.4247292559
349	0.4245060992
350	0.4240286397
351	0.4236726172
352	0.4234998066
353	0.4231787117
354	0.422934075
355	0.4226092052
356	0.4219894091
357	0.4214422595
358	0.4211555018
359	0.4209568483
360	0.4205034642
361	0.420134445
362	0.4198280263
363	0.4194282549
364	0.4191633043
365	0.4188367453
366	0.4185093504
367	0.4182687428
368	0.4180413686
369	0.4177430858
370	0.4174291892
371	0.4172512824
372	0.4170024071
373	0.4166244944
374	0.4162316322
375	0.4158713483
376	0.4155410754
377	0.4151471131
378	0.4149775534
379	0.4145607042
380	0.4141375797
381	0.4138466281
382	0.4134795278
383	0.4130232245
384	0.4125828646
385	0.4122569729
386	0.4119368806
387	0.4115398705
388	0.4112441607
389	0.4108638111
390	0.4104832244
391	0.4100941612
392	0.4095253627
393	0.4093766589
394	0.4091345273
395	0.4087873541
396	0.4082717478
397	0.407934508
398	0.4076580235
399	0.407280053
400	0.406837479
401	0.4066468257
402	0.406354239
403	0.4060409647
404	0.4056800082
405	0.405318837
406	0.4049964438
407	0.4048092926
408	0.4044473035
409	0.4042018528
410	0.403770486
411	0.4036026745
412	0.4033298919
413	0.4030531593
414	0.4029115315
415	0.4025275433
416	0.4020078564
417	0.4015625141
418	0.4011404888
419	0.4008133323
420	0.400594792
421	0.4003235567
422	0.3999831014
423	0.3995877234
424	0.3992286409
425	0.3988097049
426	0.3985304073
427	0.3983178593
428	0.3980285613
429	0.3976069788
430	0.3973703182
431	0.3970676041
432	0.3966990645
433	0.3964276596
434	0.3962017373
435	0.3959848523
436	0.3956959899
437	0.395414168
438	0.3951352889
439	0.3948951471
440	0.3944686727
441	0.3941053705
442	0.3938537194
443	0.3935948602
444	0.3932579353
445	0.393072078
446	0.3927613055
447	0.392398153
448	0.3921443643
449	0.3918791555
450	0.3915406259
451	0.3911657886
452	0.3909772779
453	0.3906657444
454	0.3904610127
455	0.3902146577
456	0.3899203777
457	0.3895011239
458	0.3892339413
459	0.3890046707
460	0.3886296104
461	0.3882642704
462	0.3879544603
463	0.3876116469
464	0.3874452756
465	0.3872406512
466	0.387122501
467	0.3869005315
468	0.3864705338
469	0.3861298368
470	0.3858821739
471	0.3857060626
472	0.3855105381
473	0.3851830649
474	0.3849897631
475	0.3847331987
476	0.3845327045
477	0.384242973
478	0.3839545606
479	0.383611213
480	0.3833884517
481	0.3831467808
482	0.382888124
483	0.3826815147
484	0.3821943234
485	0.381932274
486	0.3816130021
487	0.3812824654
488	0.3808648279
489	0.3806355101
490	0.380459041
491	0.3803252257
492	0.3800975018
493	0.379828447
494	0.3795991736
495	0.379313192
496	0.3791147789
497	0.3789405039
498	0.3788043275
499	0.3783640081
500	0.3778440623
501	0.3775500106
502	0.377390447
503	0.3770761109
504	0.3766942893
505	0.3763088216
506	0.3759264946
507	0.3755900994
508	0.3753772054
509	0.3751043216
510	0.3749034553
