iter	Passed	Remaining
403	9256	6782
404	9278	6758
405	9300	6734
406	9322	6711
407	9342	6686
408	9364	6662
409	9388	6640
410	9409	6616
411	9431	6592
412	9453	6569
413	9474	6545
414	9496	6521
415	9517	6497
416	9539	6473
417	9560	6450
418	9583	6426
419	9604	6403
420	9625	6378
421	9647	6355
422	9669	6331
423	9691	6308
424	9713	6285
425	9735	6261
426	9757	6238
427	9778	6214
428	9799	6190
429	9822	6167
430	9847	6146
431	9869	6123
432	9891	6099
433	9914	6076
434	9937	6053
435	9959	6030
436	9982	6007
437	10005	5985
438	10028	5962
439	10051	5939
440	10073	5916
441	10099	5895
442	10122	5872
443	10143	5848
444	10166	5825
445	10187	5801
446	10210	5779
447	10233	5756
448	10256	5733
449	10278	5710
450	10300	5687
451	10323	5664
452	10344	5640
453	10366	5617
454	10388	5593
455	10411	5570
456	10433	5547
457	10456	5524
458	10513	5520
459	10548	5503
460	10578	5484
461	10602	5461
462	10624	5438
463	10649	5416
464	10680	5397
465	10706	5376
466	10729	5353
467	10751	5329
468	10775	5307
469	10798	5284
470	10823	5262
471	10845	5239
472	10870	5216
473	10895	5194
474	10920	5172
475	10943	5149
476	10966	5127
477	10990	5104
478	11013	5081
479	11036	5058
480	11059	5035
481	11081	5011
482	11103	4988
483	11125	4965
484	11148	4941
485	11170	4918
486	11196	4896
487	11224	4876
488	11252	4855
489	11275	4832
490	11300	4810
491	11327	4788
492	11357	4768
493	11383	4747
494	11410	4725
495	11433	4702
496	11456	4679
497	11478	4655
498	11500	4632
499	11522	4609
500	11545	4586
501	11569	4563
502	11592	4540
503	11615	4516
504	11637	4493
505	11661	4471
506	11684	4447
507	11706	4424
508	11735	4403
509	11767	4383
510	11809	4367
511	11839	4347
512	11875	4328
513	11899	4305
514	11923	4283
515	11947	4260
516	11969	4236
517	11992	4213
518	12015	4190
519	12037	4166
520	12060	4143
521	12083	4120
522	12107	4097
523	12133	4075
524	12158	4052
525	12184	4030
526	12209	4008
527	12232	3984
528	12257	3962
529	12282	3939
530	12307	3917
531	12338	3896
532	12364	3874
533	12388	3850
534	12411	3827
535	12433	3804
536	12457	3781
537	12479	3757
538	12501	3734
539	12523	3710
540	12546	3687
541	12569	3664
542	12597	3642
543	12623	3620
544	12648	3597
545	12671	3574
546	12693	3550
547	12714	3526
548	12736	3503
549	12758	3479
550	12783	3456
551	12804	3433
552	12827	3409
553	12854	3387
554	12875	3363
555	12897	3340
556	12918	3316
557	12939	3292
558	12960	3269
559	12982	3245
560	13003	3221
561	13025	3198
562	13048	3175
563	13069	3151
564	13091	3128
565	13113	3104
566	13135	3081
567	13157	3057
568	13179	3034
569	13202	3011
570	13224	2987
571	13246	2964
572	13269	2940
573	13292	2917
574	13315	2894
575	13338	2871
576	13361	2848
577	13383	2824
578	13406	2801
579	13430	2778
580	13453	2755
581	13477	2732
582	13501	2709
583	13524	2686
584	13559	2665
585	13592	2644
586	13639	2625
587	13676	2605
588	13703	2582
589	13731	2560
590	13761	2538
591	13801	2517
592	13827	2494
593	13850	2471
594	13874	2448
595	13899	2425
596	13924	2402
597	13949	2379
598	13973	2356
599	13997	2332
600	14023	2310
601	14053	2287
602	14078	2264
603	14102	2241
604	14128	2218
605	14151	2195
606	14177	2172
607	14202	2149
608	14228	2126
609	14254	2103
610	14276	2079
611	14299	2056
612	14323	2032
613	14347	2009
614	14370	1986
615	14394	1962
616	14419	1939
617	14442	1916
618	14465	1892
619	14487	1869
620	14510	1845
621	14532	1822
622	14554	1798
623	14577	1775
624	14600	1752
625	14623	1728
626	14649	1705
627	14677	1682
628	14702	1659
629	14727	1636
630	14755	1613
631	14781	1590
632	14814	1568
633	14839	1544
634	14864	1521
635	14893	1498
636	14921	1475
637	14950	1452
638	14975	1429
639	15001	1406
640	15026	1383
641	15051	1359
642	15076	1336
643	15099	1312
644	15122	1289
645	15145	1266
646	15168	1242
647	15191	1219
648	15215	1195
649	15238	1172
650	15261	1148
651	15285	1125
652	15308	1101
653	15333	1078
654	15357	1055
655	15380	1031
656	15405	1008
657	15430	984
658	15453	961
659	15477	938
660	15501	914
661	15525	891
662	15548	867
663	15571	844
664	15594	820
665	15617	797
666	15639	773
667	15660	750
668	15682	726
669	15704	703
670	15731	679
671	15757	656
672	15782	633
673	15806	609
674	15829	586
675	15854	562
676	15877	539
677	15902	516
678	15925	492
679	15948	469
680	15972	445
681	15996	422
682	16020	398
683	16046	375
684	16069	351
685	16093	328
686	16116	304
687	16140	281
688	16163	258
689	16187	234
690	16211	211
691	16234	187
692	16257	164
693	16280	140
694	16304	117
695	16329	93
696	16352	70
697	16374	46
698	16397	23
699	16421	0
